#,Date-Time (EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
515,08/03/2023 21:38:39,18.19,0.00
516,08/03/2023 22:38:39,17.50,0.00
517,08/03/2023 23:38:39,17.72,0.00
518,08/04/2023 00:38:39,19.47,0.00
519,08/04/2023 01:38:39,18.92,0.00
520,08/04/2023 02:38:39,19.52,0.00
521,08/04/2023 03:38:39,18.87,0.00
522,08/04/2023 04:38:39,18.23,0.00
523,08/04/2023 05:38:39,16.56,8.58
524,08/04/2023 06:38:39,17.11,3363.84
525,08/04/2023 07:38:39,19.86,3271.68
526,08/04/2023 08:38:39,22.86,6100.48
527,08/04/2023 09:38:39,22.09,4168.96
528,08/04/2023 10:38:39,30.07,15395.84
529,08/04/2023 11:38:39,39.72,32245.76
530,08/04/2023 12:38:39,49.33,66273.28
531,08/04/2023 13:38:39,42.51,66908.16
532,08/04/2023 14:38:39,41.27,41164.80
533,08/04/2023 15:38:39,44.74,23685.12
534,08/04/2023 16:38:39,38.82,41625.60
535,08/04/2023 17:38:39,30.46,35932.16
536,08/04/2023 18:38:39,27.54,13399.04
537,08/04/2023 19:38:39,21.40,3342.08
538,08/04/2023 20:38:39,15.70,34.40
539,08/04/2023 21:38:39,14.15,0.00
540,08/04/2023 22:38:39,14.20,0.00
541,08/04/2023 23:38:39,12.95,0.00
542,08/05/2023 00:38:39,13.68,0.00
543,08/05/2023 01:38:39,12.14,0.00
544,08/05/2023 02:38:39,11.84,0.00
545,08/05/2023 03:38:39,15.70,0.00
546,08/05/2023 04:38:39,17.33,0.00
547,08/05/2023 05:38:39,17.24,5.40
548,08/05/2023 06:38:39,17.33,2168.96
549,08/05/2023 07:38:39,19.99,6323.20
550,08/05/2023 08:38:39,22.35,11944.96
551,08/05/2023 09:38:39,28.78,15549.44
552,08/05/2023 10:38:39,36.59,55459.84
553,08/05/2023 11:38:39,38.61,38379.52
554,08/05/2023 12:38:39,37.92,43171.84
555,08/05/2023 13:38:39,37.06,44851.20
556,08/05/2023 14:38:39,38.56,36014.08
557,08/05/2023 15:38:39,35.22,27392.00
558,08/05/2023 16:38:39,30.67,23971.84
559,08/05/2023 17:38:39,27.28,15713.28
560,08/05/2023 18:38:39,23.42,8576.00
561,08/05/2023 19:38:39,19.90,4738.56
562,08/05/2023 20:38:39,12.91,26.93
563,08/05/2023 21:38:39,12.05,0.00
564,08/05/2023 22:38:39,9.35,0.00
565,08/05/2023 23:38:39,8.45,0.00
566,08/06/2023 00:38:39,8.32,0.00
567,08/06/2023 01:38:39,9.99,0.00
568,08/06/2023 02:38:39,9.78,0.00
569,08/06/2023 03:38:39,7.81,0.00
570,08/06/2023 04:38:39,6.82,0.00
571,08/06/2023 05:38:39,8.62,7.28
572,08/06/2023 06:38:39,8.88,2620.16
573,08/06/2023 07:38:39,15.23,13946.88
574,08/06/2023 08:38:39,24.79,22528.00
575,08/06/2023 09:38:39,34.66,29921.28
576,08/06/2023 10:38:39,38.48,51200.00
577,08/06/2023 11:38:39,39.89,17402.88
578,08/06/2023 12:38:39,43.63,66048.00
579,08/06/2023 13:38:39,48.77,64389.12
580,08/06/2023 14:38:39,50.96,55336.96
581,08/06/2023 15:38:39,45.34,29327.36
582,08/06/2023 16:38:39,39.17,21770.24
583,08/06/2023 17:38:39,40.58,37048.32
584,08/06/2023 18:38:39,29.04,10705.92
